title,description,coding,sentiment
Trump apologist scrambles to defend Trump musing about guns pointed at Liz Cheney,"A Republican strategist attempted to defend Donald Trump's ominous comments about Liz Cheney facing down ""guns are trained on her face.""The former president appeared onstage Thursday night in Glendale, Arizona, for an interview with right-wing media personali…",endorsements,neutral
"Trump uses garbage truck to needle Biden, Harris","Former President Donald Trump climbed inside a garbage truck in Wisconsin Wednesday as he continued to bash President Biden for his ""garbage"" comment. Trump told reporters, ""You can't lead America if you don't love Americans."" CBS News campaign reporter Jake …",statements,negative
"Possible paths to victory for Donald Trump, Kamala Harris",Elections and surveys director Anthony Salvanto has a look at the latest CBS News polling just one day before Election Day with insight on how Donald Trump or Kamala Harris could win the White House.,polls,neutral
"Trump talks economy, immigration and unfounded election doubts",Former President Donald Trump mixed messages about the economy and immigration with unfounded doubts about the election in Pennsylvania as his campaign makes its final pitches to voters ahead of Election Day. Trump will rally in North Carolina and Pennsylvani…,policy,neutral
Trump and Harris make last campaign stops before Election Day,"As voters prepare to head to the polls, former President Donald Trump and Vice President Kamala Harris focus on critical battleground states. CBS News political contributors Terry Sullivan and Joel Payne break down the closing campaign strategies.",campaign,neutral
Inside Viktor Orbán's not-so-secret mission to elect Trump,Beyond the close public relationship between former President Donald Trump and Hungarian Prime Minister Viktor Orbán is what sources have described as frequent exchanges delving deeply into political and governing strategy.,endorsements,neutral
"Harris, Trump making final pitches for president before Election Day",Vice President Kamala Harris and former President Donald Trump are still hitting battleground states to try to sway any remaining undecided voters. CBS News campaign reporter Aaron Navarro has more on the final Harris campaign stops and Olivia Rinaldi breaks …,campaign,neutral
"Trump sues CBS News; network says suit ""completely without merit""",Former President Donald Trump has sued CBS News over a recent 60 Minutes interview with Vice President Kamala Harris. The network says it intends to vigorously defend against the lawsuit.,statements,neutral
"Harris condemns Trump over ""violent rhetoric"" about Liz Cheney","Former President Donald Trump attacked former Rep. Liz Cheney, one of his most ardent critics, on Thursday as a ""war hawk"" and suggested she be sent into the line of fire. Vice President Kamala Harris lambasted Trump for his attack on Cheney and said his rhet…",oppositions,negative
"Trump highlights Biden's ""garbage"" comment, alleges fraud with Pennsylvania ballots","Former President Donald Trump climbed aboard a garbage truck in Green Bay, Wisconsin, highlighting a recent remark by President Biden in which he called Trump supporters ""garbage,"" which the administration later clarified. It comes as Trump fights off his own…",statements,neutral
"Comparing Trump and Harris' views on LGBTQ rights, marriage equality",Former President Donald Trump and Vice President Kamala Harris have starkly different messages and backgrounds on LGBTQ issues.,policy,neutral
See how Trump and Harris' stances on military support compare,"There are similarities between Trump and Biden on long-term armed forces strategy, but the 2024 election shows stark differences in Harris and Trump's view of the military's role.",policy,neutral
Trump and Harris make final push in battleground states,"With just days until Election Day, former President Trump and Vice President Harris rallied in key states. Trump enlisted Tucker Carlson to target political rivals, while Harris, joined by Jennifer Lopez, addressed voter issues and Trump's recent remarks. CBS…",campaign,neutral
"Offensive comments taking off before Trump, Harris race ends","Offensive comments made in the last days before the Nov. 5 election are shadowing a key week for both presidential candidates to sway 2024 undecided voters. Former President Donald Trump's comments about former Rep. Liz Cheney are drawing criticism, while Vic…",statements,neutral
Trump facing backlash for remark about protecting women,"Former President Donald Trump is facing criticism for a comment about women he made at a rally Wednesday night. ""I'm going to do it whether the women like it or not. I'm going to protect them,"" Trump said. CBS News' Lilia Luciano and Nikole Killion have the l…",oppositions,neutral
