,word rank,polls,campaign,policy,oppositions,endorsements,statements,wellbeing,not trump
0,1,polls,rally,bitcoin,women,musk,garbage,media,musk
1,2,harris,watch,health,john,elon,president,net,djt
2,3,race,holds,stocks,president,vote,allies,worth,media
3,4,leads,live,immigration,comments,endorsed,says,cyber,supporters
4,5,latest,president,plan,says,endorses,fraud,targets,elon
5,6,pennsylvania,campaign,harris,kelly,tariffs,biden,vance,garbage
6,7,poll,rogan,wins,central,nfl,campaign,money,shares
7,8,election,donald,tax,kamala,post,rally,china,rogan
8,9,survey,north,stances,backing,naomi,news,backed,rally
9,10,michigan,day,america,cuban,wolf,cheney,shares,social
